COUNTRY,COUNTRY_CODE,CPI,GDI,GINI,PERCENTURBAN,LINCPI,LINGDI,LINGINI,LINURBAN,POWERAVERAGE,CR
Dominican Republic,99,3,0.739,47.4,0.3974,0.164556962,0.679245283,0.496760259,0.394568337,0.522764047,0.477235953
El Salvador,5,4.2,0.715,53.2,0.3954,0.316455696,0.644412192,0.622030238,0.392360344,0.546150038,0.453849962
Ecuador,3,2.5,0.7505,43.7,0.18,0.101265823,0.695936139,0.416846652,0.154559505,0.507548106,0.492451894
Ethiopia,99,2.2,0.355,30,0.1226,0.063291139,0.12191582,0.120950324,0.091190108,0.10678545,0.89321455
Finland,99,9.6,0.94,26.9,0.721,1,0.970972424,0.05399568,0.751821594,0.861989318,0.138010682
France,99,7.5,0.935,32.7,0.73,0.734177215,0.96371553,0.179265659,0.761757562,0.781347735,0.218652265
Gambia,99,2.7,0.464,38,0.1592,0.126582278,0.28011611,0.293736501,0.131596379,0.243912583,0.756087417
Germany,99,8.2,0.926,28.3,0.8,0.82278481,0.95065312,0.084233261,0.839037315,0.815681158,0.184318842
Ghana,99,3.5,0.517,30,0.313,0.227848101,0.357039187,0.120950324,0.301391036,0.287716964,0.712283036
Greece,99,4.3,0.907,35.4,0.7,0.329113924,0.923076923,0.237580994,0.728637668,0.711105334,0.288894666
Guatemala,6,2.5,0.649,48.3,0.69,0.101265823,0.54862119,0.516198704,0.717597704,0.571555705,0.428444295
Guyana,99,2.5,0.716,43.2,0.36,0.101265823,0.64586357,0.406047516,0.35327887,0.482542219,0.517457781
"Hong Kong, China (SAR)",99,8.3,0.912,43.4,0.9207,0.835443038,0.930333817,0.410367171,0.972289689,0.857065618,0.142934382
Hungary,99,5,0.86,24.4,0.589,0.417721519,0.854862119,0,0.60609406,0.646656389,0.353343611
India,99,2.9,0.586,32.5,0.2331,0.151898734,0.457184325,0.174946004,0.213181718,0.329627129,0.670372871
Indonesia,99,2.2,0.691,34.3,0.35,0.063291139,0.6095791,0.213822894,0.342238905,0.442890118,0.557109882
Iran,99,2.9,0.719,43,0.4703,0.151898734,0.650217707,0.401727862,0.47504968,0.503096635,0.496903365
Ireland,99,7.4,0.939,35.9,0.5561,0.721518987,0.969521045,0.24838013,0.569772577,0.749723076,0.250276924
Israel,99,6.3,0.911,35.5,0.8,0.582278481,0.928882438,0.239740821,0.839037315,0.763369771,0.236630229
Italy,99,5,0.928,36,0.67,0.417721519,0.953555878,0.250539957,0.695517774,0.723360881,0.276639119
Jamaica,99,3.6,0.736,37.9,0.4141,0.240506329,0.674891147,0.291576674,0.413005078,0.498558381,0.501441619
Japan,99,7.3,0.937,24.9,0.759,0.708860759,0.966618287,0.010799136,0.79377346,0.785460142,0.214539858
Jordan,99,5.7,0.749,36.4,0.86,0.506329114,0.693759071,0.259179266,0.905277103,0.702377197,0.297622803
Kazakstan,99,2.6,0.759,31.3,0.57,0.113924051,0.708272859,0.149028078,0.585118128,0.551311025,0.448688975
Kenya,99,2.1,0.472,44.5,0.151,0.050632911,0.291727141,0.43412527,0.122543608,0.321985715,0.678014285
"Korea, Rep. of",99,5,0.896,31.6,0.5725,0.417721519,0.907111756,0.155507559,0.587878119,0.674426237,0.325573763
Krygyzstan,99,2.3,0.7,29,0.35,0.075949367,0.622641509,0.099352052,0.342238905,0.450083812,0.549916188
Lao People's Rep.,99,3.3,0.54,37,0.186,0.202531646,0.3904209,0.272138229,0.161183484,0.296888833,0.703111167
Latvia,99,4.2,0.834,32.4,0.68,0.316455696,0.81712627,0.172786177,0.706557739,0.648157106,0.351842894
Lesotho,99,3.4,0.487,63.2,0.0463,0.215189873,0.313497823,0.838012959,0.006955178,0.596078795,0.403921205
Lithuania,99,4.8,0.851,31.9,0.67,0.392405063,0.84179971,0.161987041,0.695517774,0.660341161,0.339658839
Luxembourg,99,8.5,0.944,30.8,0.6786,0.860759494,0.976777939,0.138228942,0.705012144,0.808205003,0.191794997
Macedonia,99,2.7,0.794,28.2,0.59,0.126582278,0.759071118,0.082073434,0.607198057,0.5849238,0.4150762
Madagascar,99,2.8,0.483,47.5,0.163,0.139240506,0.307692308,0.498920086,0.135791565,0.365826663,0.634173337
Malawi,99,2.8,0.396,50.3,0.0848,0.139240506,0.181422351,0.559395248,0.049459042,0.397023626,0.602976374
Malaysia,99,5.1,0.791,49.2,0.342,0.430379747,0.754716981,0.535637149,0.333406933,0.580244246,0.419755754
Mali,99,2.9,0.323,50.5,0.1684,0.151898734,0.075471698,0.563714903,0.141753146,0.399559049,0.600440951
Mexico,8,3.5,0.804,54.6,0.75,0.227848101,0.773584906,0.652267819,0.783837492,0.692390913,0.307609087
Moldova,99,2.9,0.668,36.2,0.45,0.151898734,0.576197388,0.254859611,0.452638552,0.445069837,0.554930163
Mongolia,99,3,0.677,44,0.51,0.164556962,0.589259797,0.423326134,0.51887834,0.487489071,0.512510929
Mozambique,99,2.8,0.365,39.6,0.1318,0.139240506,0.136429608,0.328293737,0.101346876,0.236168572,0.763831428
Namibia,99,4.3,0.621,70.7,0.249,0.329113924,0.507982583,1,0.230735262,0.721036008,0.278963992
Nepal,99,2.5,0.511,36.7,0.04,0.101265823,0.348330914,0.265658747,0,0.265274199,0.734725801
Netherlands,99,8.6,0.939,32.6,0.884,0.873417722,0.969521045,0.177105832,0.931773018,0.863148935,0.136851065
New Zealand,99,9.6,0.929,36.2,0.835,1,0.955007257,0.254859611,0.877677191,0.882796829,0.117203171
Nicaragua,7,2.6,0.683,55.1,0.55,0.113924051,0.59796807,0.663066955,0.563038198,0.569857292,0.430142708
Niger,99,2.4,0.271,50.5,0.21,0.088607595,0,0.563714903,0.187679399,0.399885663,0.600114337
Nigeria,99,1.9,0.439,50.6,0.44,0.025316456,0.24383164,0.56587473,0.441598587,0.435664035,0.564335965
Norway,99,8.9,0.96,25.8,0.7017,0.911392405,1,0.030237581,0.730514462,0.838228721,0.161771279
Pakistan,99,2.1,0.508,33,0.34,0.050632911,0.343976778,0.18574514,0.33119894,0.287238772,0.712761228
Panama,99,3.5,0.8,56.4,0.4757,0.227848101,0.76777939,0.691144708,0.481011261,0.630444836,0.369555164
Papua New Guinea,99,2.3,0.518,50.9,0.1312,0.075949367,0.358490566,0.572354212,0.100684478,0.419576897,0.580423103
Paraquay,99,2.1,0.742,56.8,0.54,0.050632911,0.683599419,0.699784017,0.551998234,0.609226716,0.390773284
Peru,4,3.5,0.745,49.8,0.651,0.227848101,0.687953556,0.548596112,0.674541841,0.601698738,0.398301262
Philippines,99,2.5,0.755,46.1,0.48,0.101265823,0.702467344,0.468682505,0.485758446,0.542919661,0.457080339
Poland,99,3.4,0.856,31.6,0.601,0.215189873,0.849056604,0.155507559,0.619342018,0.639634959,0.360365041
Portugal,99,6.5,0.9,38.5,0.2615,0.607594937,0.912917271,0.304535637,0.244535217,0.677560889,0.322439111
Romania,99,3,0.789,30.3,0.53,0.164556962,0.751814224,0.127429806,0.540958269,0.564477121,0.435522879
Rwanda,99,3.1,0.447,28.9,0.0451,0.17721519,0.255442671,0.097192225,0.005630382,0.191087451,0.808912549
Senegal,99,3.2,0.449,41.3,0.343,0.189873418,0.258345428,0.365010799,0.33451093,0.308063372,0.691936628
Sierra Leone,99,2.4,0.279,62.9,0.2762,0.088607595,0.01161103,0.831533477,0.260763966,0.589418251,0.410581749
Slovakia,99,4.3,0.847,25.8,0.56,0.329113924,0.835994194,0.030237581,0.574078163,0.624599551,0.375400449
Slovenia,99,6.1,0.901,28.4,0.51,0.556962025,0.91436865,0.086393089,0.51887834,0.682476896,0.317523104
South Africa,99,4.5,0.652,59.3,0.559,0.35443038,0.552975327,0.753779698,0.572974166,0.606125583,0.393874417
Spain,99,7,0.922,32.5,0.642,0.670886076,0.944847605,0.174946004,0.664605873,0.73940271,0.26059729
Sri Lanka,99,3.2,0.747,34.4,0.215,0.189873418,0.690856313,0.215982721,0.193199382,0.491098915,0.508901085
Swaziland,99,2.7,0.485,60.9,0.152,0.126582278,0.310595065,0.788336933,0.123647604,0.560940131,0.439059869
Sweden,99,9.2,0.947,25,0.831,0.949367089,0.981132075,0.012958963,0.873261206,0.872732068,0.127267932
Switzerland,99,9.1,0.946,33.1,0.571,0.936708861,0.979680697,0.187904968,0.586222124,0.820215058,0.179784942
Tajikistan,99,2.1,0.65,34.7,0.27,0.050632911,0.550072569,0.222462203,0.253919187,0.395800893,0.604199107
Tanzania,99,2.9,0.414,38.2,0.1329,0.151898734,0.20754717,0.298056156,0.102561272,0.225759276,0.774240724
Thailand,99,3.8,0.774,43.2,0.173,0.265822785,0.730043541,0.406047516,0.14683153,0.530449654,0.469550346
Trinada and Tobago,99,3.8,0.796,40.3,0.29,0.265822785,0.761973875,0.343412527,0.275999117,0.548407829,0.451592171
Tunisia,99,4.9,0.743,39.8,0.5283,0.405063291,0.685050798,0.332613391,0.539081475,0.541474078,0.458525922
Turkey,99,3.5,0.742,40,0.65,0.227848101,0.683599419,0.336933045,0.673437845,0.57578322,0.42421678
Uganda,99,2.5,0.502,43,0.079,0.101265823,0.335268505,0.401727862,0.043055862,0.313806009,0.686193991
Ukraine,99,2.6,0.763,29,0.68,0.113924051,0.714078374,0.099352052,0.706557739,0.597406969,0.402593031
United Kingdom,99,8.6,0.937,36,0.8,0.873417722,0.966618287,0.250539957,0.839037315,0.836072228,0.163927772
United States,9,7.6,0.942,40.8,0.752,0.746835443,0.973875181,0.354211663,0.786045485,0.796278633,0.203721367
Uruguay,99,5.9,0.836,44.6,0.93,0.53164557,0.820029028,0.436285097,0.982556856,0.78258638,0.21741362
Uzbekistan,99,2.2,0.692,26.8,0.37,0.063291139,0.611030479,0.051835853,0.364318834,0.445128193,0.554871807
Venezuela,2,2.3,0.765,49.1,0.7307,0.075949367,0.716981132,0.533477322,0.76253036,0.64290965,0.35709035
Vietnam,99,2.6,0.702,36.1,0.2011,0.113924051,0.625544267,0.252699784,0.177853831,0.446068013,0.553931987
Yemen,99,2.7,0.448,33.4,0.333,0.126582278,0.256894049,0.194384449,0.323470965,0.255281887,0.744718113
Zambia,99,2.6,0.383,52.6,0.399,0.113924051,0.162554427,0.609071274,0.396334732,0.449404375,0.550595625
Zimbabwe,99,2.6,0.493,56.8,0.168,0.113924051,0.322206096,0.699784017,0.141311548,0.50057348,0.49942652
