Reference Area,Time Period,Sex,Age group,Unit of measurement,Nature,Value
Ecuador,2014,Male,18+,Number,Not Available,18
Egypt,2014,Female,<18,Number,Not Available,37
Egypt,2014,Female,18+,Number,Not Available,2
Egypt,2014,Male,<18,Number,Not Available,48
Egypt,2014,Male,18+,Number,Not Available,29
El Salvador,2014,Female,<18,Number,Not Available,64
El Salvador,2014,Female,18+,Number,Not Available,17
El Salvador,2014,Male,<18,Number,Not Available,4
El Salvador,2014,Male,18+,Number,Not Available,1
Estonia,2014,Female,<18,Number,Not Available,1
Estonia,2014,Male,18+,Number,Not Available,1
Fiji,2014,Female,<18,Number,Not Available,1
Fiji,2014,Female,18+,Number,Not Available,2
Finland,2014,Female,<18,Number,Not Available,1
Finland,2014,Female,18+,Number,Not Available,34
Finland,2014,Male,<18,Number,Not Available,2
Finland,2014,Male,18+,Number,Not Available,9
Georgia,2014,Female,18+,Number,Not Available,5
Georgia,2014,Male,18+,Number,Not Available,4
Germany,2014,Female,<18,Number,Not Available,50
Germany,2014,Female,18+,Number,Not Available,485
Germany,2014,Male,<18,Number,Not Available,7
Germany,2014,Male,18+,Number,Not Available,41
Greece,2014,Female,<18,Number,Not Available,13
Greece,2014,Female,18+,Number,Not Available,54
Greece,2014,Male,<18,Number,Not Available,1
Greece,2014,Male,18+,Number,Not Available,10
Guatemala,2014,Female,<18,Number,Not Available,110
Guatemala,2014,Female,18+,Number,Not Available,85
Guatemala,2014,Male,<18,Number,Not Available,19
Guatemala,2014,Male,18+,Number,Not Available,59
Guinea,2014,Female,<18,Number,Not Available,6
Guinea,2014,Female,18+,Number,Not Available,3
Guinea,2014,Male,<18,Number,Not Available,12
Guinea,2014,Male,18+,Number,Not Available,1
Honduras,2014,Female,<18,Number,Not Available,52
Honduras,2014,Male,<18,Number,Not Available,11
Ireland,2014,Female,<18,Number,Not Available,5
Ireland,2014,Female,18+,Number,Not Available,26
Ireland,2014,Male,<18,Number,Not Available,8
Ireland,2014,Male,18+,Number,Not Available,7
Israel,2014,Female,18+,Number,Not Available,44
Israel,2014,Male,18+,Number,Not Available,27
Italy,2014,Female,<18,Number,Not Available,326
Italy,2014,Female,18+,Number,Not Available,103
Italy,2014,Male,<18,Number,Not Available,110
Italy,2014,Male,18+,Number,Not Available,58
Japan,2014,Female,<18,Number,Not Available,7
Japan,2014,Female,18+,Number,Not Available,18
Latvia,2014,Female,18+,Number,Not Available,26
Latvia,2014,Male,18+,Number,Not Available,8
Mauritius,2014,Female,<18,Number,Not Available,7
Mauritius,2014,Female,18+,Number,Not Available,1
Mauritius,2014,Male,<18,Number,Not Available,2
Mexico,2014,Female,<18,Number,Not Available,83
Mexico,2014,Female,18+,Number,Not Available,133
Mexico,2014,Male,<18,Number,Not Available,12
Mexico,2014,Male,18+,Number,Not Available,7
Mongolia,2014,Female,18+,Number,Not Available,2
Nepal,2014,Female,18+,Number,Not Available,199
Netherlands,2014,Female,<18,Number,Not Available,218
Netherlands,2014,Female,18+,Number,Not Available,1055
Netherlands,2014,Male,<18,Number,Not Available,65
Netherlands,2014,Male,18+,Number,Not Available,160
Nigeria,2014,Female,<18,Number,Not Available,250
Nigeria,2014,Female,18+,Number,Not Available,261
Nigeria,2014,Male,<18,Number,Not Available,458
Nigeria,2014,Male,18+,Number,Not Available,61
Norway,2014,Female,<18,Number,Not Available,12
Norway,2014,Female,18+,Number,Not Available,104
Norway,2014,Male,<18,Number,Not Available,15
Norway,2014,Male,18+,Number,Not Available,26
Oman,2014,Female,18+,Number,Not Available,3
Oman,2014,Male,18+,Number,Not Available,3
Panama,2014,Female,<18,Number,Not Available,1
Panama,2014,Female,18+,Number,Not Available,2
Panama,2014,Male,<18,Number,Not Available,1
Panama,2014,Male,18+,Number,Not Available,8
Paraguay,2014,Female,<18,Number,Not Available,44
Paraguay,2014,Female,18+,Number,Not Available,50
Paraguay,2014,Male,<18,Number,Not Available,6
Paraguay,2014,Male,18+,Number,Not Available,8
Peru,2014,Female,<18,Number,Not Available,257
Peru,2014,Female,18+,Number,Not Available,360
Peru,2014,Male,<18,Number,Not Available,103
Peru,2014,Male,18+,Number,Not Available,40
Philippines,2014,Female,<18,Number,Not Available,261
Philippines,2014,Female,18+,Number,Not Available,680
Philippines,2014,Male,<18,Number,Not Available,37
Philippines,2014,Male,18+,Number,Not Available,105
